Word,HamCount,SpamCount,Ratio Ham 0 - Spam 1,WordInHams,WordInSpams
belasten,1.0,0.0,1.0,1,0
belästige,1.0,0.0,1.0,0,0
belästigen,1.0,0.0,1.0,1,0
benachrichtigen,2.0,0.0,1.0,2,0
berechtigungskennwort,1.0,0.0,1.0,1,0
bereitgestellt,2.0,0.0,1.0,2,0
beschlossen,2.0,0.0,1.0,0,0
besonders,1.0,0.0,1.0,0,0
besprechen,2.0,0.0,1.0,0,0
besser,2.0,0.0,1.0,1,0
bestellungen,1.0,0.0,1.0,1,0
besten,2.0,0.0,1.0,2,0
bestimmt,2.0,0.0,1.0,2,0
betreff,5.0,0.0,1.0,0,0
betreffzeilen,1.0,0.0,1.0,1,0
betrieben,1.0,0.0,1.0,1,0
betriebsleiter,2.0,0.0,1.0,2,0
betroffen,2.0,0.0,1.0,2,0
betroffenen,1.0,0.0,1.0,1,0
bewerbungen,2.0,0.0,1.0,1,0
bewerbungsmail,2.0,0.0,1.0,1,0
bewerbungsschreiben,1.0,0.0,1.0,1,0
bezahlen,1.0,0.0,1.0,1,0
bibliothek,2.0,0.0,1.0,2,0
bibliotheksbenutzer,2.0,0.0,1.0,0,0
bildet,1.0,0.0,1.0,1,0
bis,9.0,0.0,1.0,5,0
bisher,1.0,0.0,1.0,1,0
bit,1.0,0.0,1.0,1,0
bitcoin,1.0,0.0,1.0,0,0
bitdefender,1.0,0.0,1.0,0,0
bitten,1.0,0.0,1.0,1,0
bittet,1.0,0.0,1.0,1,0
bleiben,3.0,0.0,1.0,3,0
board,8.0,0.0,1.0,3,0
brandfall,1.0,0.0,1.0,1,0
brandmeldeanlage,1.0,0.0,1.0,1,0
bremen,3.0,0.0,1.0,3,0
bsi,3.0,0.0,1.0,1,0
burghausen,3.0,0.0,1.0,3,0
bzw,2.0,0.0,1.0,0,0
büro,2.0,0.0,1.0,0,0
campus,6.0,0.0,1.0,2,0
campuslizenz,1.0,0.0,1.0,1,0
caroline,1.0,0.0,1.0,1,0
cc,2.0,0.0,1.0,0,0
chairman,4.0,0.0,1.0,3,0
change,2.0,0.0,1.0,2,0
changes,2.0,0.0,1.0,2,0
cit,3.0,0.0,1.0,0,0
cloudsysteme,1.0,0.0,1.0,1,0
command,1.0,0.0,1.0,1,0
computer,1.0,0.0,1.0,1,0
confidential,2.0,0.0,1.0,2,0
consultant,4.0,0.0,1.0,3,0
contain,2.0,0.0,1.0,2,0
contained,2.0,0.0,1.0,2,0
control,1.0,0.0,1.0,1,0
copying,2.0,0.0,1.0,2,0
court,4.0,0.0,1.0,3,0
cyberkriminelle,1.0,0.0,1.0,1,0
dafür,1.0,0.0,1.0,0,0
daher,4.0,0.0,1.0,3,0
damage,2.0,0.0,1.0,2,0
damals,1.0,0.0,1.0,1,0
damen,5.0,0.0,1.0,5,0
damit,4.0,0.0,1.0,4,0
dank,1.0,0.0,1.0,1,0
dann,5.0,0.0,1.0,3,0
daraufhin,1.0,0.0,1.0,1,0
darüber,2.0,0.0,1.0,1,0
datei,9.0,0.0,1.0,2,0
dateianhänge,1.0,0.0,1.0,1,0
dateien,1.0,0.0,1.0,1,0
daten,3.0,0.0,1.0,1,0
dazugehoerigen,2.0,0.0,1.0,2,0
dc,1.0,0.0,1.0,0,0
deep,1.0,0.0,1.0,1,0
defender,1.0,0.0,1.0,1,0
dekanin,1.0,0.0,1.0,1,0
delete,2.0,0.0,1.0,2,0
deliverables,2.0,0.0,1.0,2,0
denke,2.0,0.0,1.0,0,0
desbanking,1.0,0.0,1.0,0,0
diehl,3.0,0.0,1.0,1,0
dienstag,1.0,0.0,1.0,0,0
dienstbesprechung,1.0,0.0,1.0,1,0
dienstreisen,1.0,0.0,1.0,0,0
dies,3.0,0.0,1.0,2,0
diesem,3.0,0.0,1.0,2,0
diesjährige,1.0,0.0,1.0,1,0
dietrich,14.0,0.0,1.0,3,0
digitaler,2.0,0.0,1.0,0,0
dinge,1.0,0.0,1.0,0,0
dipl,4.0,0.0,1.0,0,0
disclaimer,2.0,0.0,1.0,0,0
dissemination,2.0,0.0,1.0,0,0
doc,1.0,0.0,1.0,0,0
doch,1.0,0.0,1.0,1,0
doktoranden,1.0,0.0,1.0,0,0
dokument,4.0,0.0,1.0,1,0
dokumente,3.0,0.0,1.0,2,0
dokuments,1.0,0.0,1.0,1,0
donnerstag,1.0,0.0,1.0,0,0
dort,2.0,0.0,1.0,1,0
dr,5.0,0.0,1.0,1,0
dringend,1.0,0.0,1.0,1,0
dringenden,1.0,0.0,1.0,1,0
dritter,1.0,0.0,1.0,1,0
drucken,1.0,0.0,1.0,1,0
durchaus,1.0,0.0,1.0,1,0
durchführen,2.0,0.0,1.0,2,0
durchführung,2.0,0.0,1.0,2,0
dürfen,1.0,0.0,1.0,0,0
e2,1.0,0.0,1.0,0,0
eben,1.0,0.0,1.0,1,0
ebenfalls,1.0,0.0,1.0,1,0
eigener,1.0,0.0,1.0,1,0
eigenschaften,2.0,0.0,1.0,0,0
einfach,1.0,0.0,1.0,1,0
einfachen,1.0,0.0,1.0,1,0
eingegangen,1.0,0.0,1.0,1,0
eingegeben,1.0,0.0,1.0,1,0
eingehende,1.0,0.0,1.0,1,0
eingeschränkten,1.0,0.0,1.0,1,0
einige,1.0,0.0,1.0,1,0
einmal,1.0,0.0,1.0,1,0
einweisung,1.0,0.0,1.0,1,0
einzustufen,1.0,0.0,1.0,0,0
emotet,1.0,0.0,1.0,1,0
empfänger,1.0,0.0,1.0,1,0
empfängern,1.0,0.0,1.0,1,0
empfängername,1.0,0.0,1.0,1,0
enddaten,1.0,0.0,1.0,1,0
entdeckt,1.0,0.0,1.0,0,0
entfernt,1.0,0.0,1.0,0,0
enthalten,5.0,0.0,1.0,1,0
enthaltene,1.0,0.0,1.0,1,0
enthaltenen,3.0,0.0,1.0,3,0
enthält,2.0,0.0,1.0,1,0
entpacken,1.0,0.0,1.0,1,0
entschluesselungs,1.0,0.0,1.0,0,0
entsprechende,1.0,0.0,1.0,1,0
entstehende,1.0,0.0,1.0,1,0
entstehung,1.0,0.0,1.0,1,0
entweder,2.0,0.0,1.0,2,0
entwurf,1.0,0.0,1.0,1,0
erfolgen,1.0,0.0,1.0,0,0
erfolgreichsten,1.0,0.0,1.0,1,0
erforderlich,1.0,0.0,1.0,0,0
ergangen,1.0,0.0,1.0,0,0
ergebnis,1.0,0.0,1.0,1,0
erhalten,4.0,0.0,1.0,4,0
erhält,1.0,0.0,1.0,1,0
erinnern,2.0,0.0,1.0,0,0
erlaubt,1.0,0.0,1.0,0,0
erläutern,1.0,0.0,1.0,1,0
ermöglichten,1.0,0.0,1.0,1,0
erneut,1.0,0.0,1.0,1,0
erpresst,1.0,0.0,1.0,0,0
erpressungsgeld,1.0,0.0,1.0,0,0
erpressungstrojaner,1.0,0.0,1.0,1,0
erreichen,1.0,0.0,1.0,1,0
ersten,1.0,0.0,1.0,1,0
erwartet,1.0,0.0,1.0,0,0
erzeugen,1.0,0.0,1.0,1,0
erzählt,1.0,0.0,1.0,0,0
etc,1.0,0.0,1.0,0,0
etwa,2.0,0.0,1.0,2,0
eurer,1.0,0.0,1.0,1,0
eventuelle,3.0,0.0,1.0,3,0
eventuellen,1.0,0.0,1.0,1,0
excel,1.0,0.0,1.0,0,0
excellence,3.0,0.0,1.0,3,0
except,1.0,0.0,1.0,1,0
exe,1.0,0.0,1.0,0,0
externe,1.0,0.0,1.0,0,0
fachbereich,1.0,0.0,1.0,1,0
fahrlaessigkeit,1.0,0.0,1.0,1,0
fahrstuhlvorraum,1.0,0.0,1.0,1,0
fakultät,3.0,0.0,1.0,3,0
falls,2.0,0.0,1.0,2,0
fassen,2.0,0.0,1.0,0,0
fax,10.0,0.0,1.0,2,0
fenster,1.0,0.0,1.0,1,0
festgelegt,2.0,0.0,1.0,0,0
festgelegten,1.0,0.0,1.0,1,0
festzulegen,2.0,0.0,1.0,0,0
feuerwehr,2.0,0.0,1.0,1,0
fh,4.0,0.0,1.0,0,0
finale,2.0,0.0,1.0,1,0
finanzministerium,1.0,0.0,1.0,1,0
finden,3.0,0.0,1.0,2,0
findet,1.0,0.0,1.0,1,0
firma,3.0,0.0,1.0,3,0
florian,2.0,0.0,1.0,1,0
fluchtturm,1.0,0.0,1.0,1,0
fluchtweg,1.0,0.0,1.0,1,0
fluchtwegepläne,1.0,0.0,1.0,1,0
flur,2.0,0.0,1.0,1,0
flutwegekennzeichnungen,1.0,0.0,1.0,1,0
